ft	Name	Install Time	Update Time	Install Originator	Installer	Code Path	Public Flags	Private Flags
2020-08-05 01:10:52	com.android.wallpaper.livepicker	2020-08-05 01:10:52	2020-08-05 01:10:52			/system/app/LiveWallpapersPicker	0x3048be45	0x0
2020-08-05 01:10:22	com.google.android.sdksetup	2020-08-05 01:10:22	2020-08-05 01:10:22			/system/priv-app/GoogleSdkSetup	0x3008be45	0x8
2020-08-05 01:12:24	com.google.android.backuptransport	2020-08-05 01:12:24	2020-08-05 01:12:24			/system/priv-app/GoogleBackupTransport	0x3008be45	0x8
2020-08-05 01:11:06	com.android.storagemanager	2020-08-05 01:11:06	2020-08-05 01:11:06			/system/priv-app/StorageManager	0x30483e45	0x8
2020-08-05 01:09:59	com.android.bookmarkprovider	2020-08-05 01:09:59	2020-08-05 01:09:59			/system/app/BookmarkProvider	0x3008be45	0x0
2020-08-05 01:14:07	com.android.settings	2020-08-05 01:14:07	2020-08-05 01:14:07			/system/priv-app/Settings	0x38483e45	0x8
2020-08-05 00:52:53	com.google.android.inputmethod.pinyin	2020-08-05 00:52:53	2020-08-05 00:52:53			/system/app/GooglePinyinIME	0x300abe45	0x0
2020-08-05 01:13:07	com.android.calculator2	2020-08-05 01:13:07	2020-08-05 01:13:07			/system/app/ExactCalculator	0x30483e45	0x0
2020-08-05 00:52:49	com.android.cts.ctsshim	2020-08-05 00:52:49	2020-08-05 00:52:49			/system/app/CtsShimPrebuilt	0x3808be41	0x0
2020-08-05 01:10:40	com.android.vpndialogs	2020-08-05 01:10:40	2020-08-05 01:10:40			/system/priv-app/VpnDialogs	0x30083e45	0x8
2020-08-05 00:52:52	com.google.android.apps.wallpaper	2020-08-05 00:52:52	2020-08-05 00:52:52			/system/priv-app/WallpaperPickerGooglePrebuilt	0x384bbe45	0x8
2020-08-05 01:13:14	com.android.phone	2020-08-05 01:13:14	2020-08-05 01:13:14			/system/priv-app/TeleService	0x38483e4d	0x8
2020-08-05 01:10:53	com.android.shell	2020-08-05 01:10:53	2020-08-05 01:10:53			/system/priv-app/Shell	0x3008be45	0x8
2020-08-05 01:10:05	com.android.wallpaperbackup	2020-08-05 01:10:05	2020-08-05 01:10:05			/system/app/WallpaperBackup	0x3408be05	0x0
2020-08-05 01:10:28	com.android.providers.blockednumber	2020-08-05 01:10:28	2020-08-05 01:10:28			/system/priv-app/BlockedNumberProvider	0x3008be45	0x8
2020-08-05 01:10:39	com.android.providers.userdictionary	2020-08-05 01:10:39	2020-08-05 01:10:39			/system/priv-app/UserDictionaryProvider	0x3008be05	0x8
2020-08-05 01:11:11	com.android.emergency	2020-08-05 01:11:11	2020-08-05 01:11:11			/system/priv-app/EmergencyInfo	0x3048be45	0x8
2020-08-05 01:10:29	com.android.location.fused	2020-08-05 01:10:29	2020-08-05 01:10:29			/system/priv-app/FusedLocation	0x3008be45	0x8
2020-08-05 01:14:08	com.android.systemui	2020-08-05 01:14:08	2020-08-05 01:14:08			/system/priv-app/SystemUIGoogle	0x30483e0d	0x8
2020-08-05 01:10:05	com.android.bluetoothmidiservice	2020-08-05 01:10:05	2020-08-05 01:10:05			/system/app/BluetoothMidiService	0x3008be45	0x0
2020-08-05 01:11:06	com.android.traceur	2020-08-05 01:11:06	2020-08-05 01:11:06			/system/app/Traceur	0x3808be45	0x0
2020-08-05 01:16:49	com.android.bluetooth	2020-08-05 01:16:49	2020-08-05 01:16:49			/system/app/Bluetooth	0x3048be45	0x0
2020-08-05 01:12:49	com.android.providers.contacts	2020-08-05 01:12:49	2020-08-05 01:12:49			/system/priv-app/ContactsProvider	0x30083e45	0x8
2020-08-05 01:11:13	com.android.captiveportallogin	2020-08-05 01:11:13	2020-08-05 01:11:13			/system/app/CaptivePortalLogin	0x3808be45	0x0
2020-08-05 00:52:57	com.google.android.inputmethod.latin	2020-08-05 00:52:57	2020-08-05 00:52:57			/system/app/LatinIMEGooglePrebuilt	0x384abe45	0x0
2020-08-05 00:52:49	com.google.android.apps.restore	2020-08-05 00:52:49	2020-08-05 00:52:49			/system/priv-app/GoogleRestorePrebuilt	0x20483e45	0x8
